Date,Location,Type,Ward,Neighborhood,Notes,,,
05.01.2025,Kingman and Heritage Island/Benning Rd NE,"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT/public space must remain clear at all times due to safety concerns",7,RFK Campus,"went up a day before, RFK related?",,,
05.06.2025,900 I St SE (DDOT Underpass),"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT/public space must remain clear at all times due to safety concerns",6,Capitol Hill,rescheduled from mid april for logistics ,,,
05.07.2025,23rd and E St NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT/public space must remain clear at all times due to safety concerns",2,Foggy Bottom,rescheduled from mid april for logistics ,,,
05.08.2025,26th and L St NW (Whitehurst Expressway Underpass/DDOT Fenced Space on L St NW) ,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this DDOT space must remain clear at all times due to safety concerns",2,Georgetown/Foggy Bottom,Rescheduled from 5/21 due to weather,,,
05.13.2025,801 K St NW (Carnegie Library),"Full Clean-up 
Bio-hazard Removal",2,Mount Vernon,also canceled for rain,,,
05.15.2025,3524 Connecticut Ave NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",3,Cleveland Park,unclear if completed,,,
05.20.2025,801 2nd St NE,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this public space must remain clear at all times due to safety concerns",5,NoMa,said completed on site,,,
05.22.2025,14th and New York Ave NW (Bus Stop),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Downtown,site labeled abandoned - they did a bulk trash cleanup,,,
05.23.2025,26th and L St NW (Whitehurst Expressway Underpass/DDOT Fenced Space on L St NW) ,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this DDOT space must remain clear at all times due to safety concerns",2,Georgetown/Foggy Bottom,"Rescheduled from 5/21 due to weather, said completed on site",,,
05.27.2025,725 13th St NW (Rear Alleyway),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Downtown,rescheduled from 5/22 due to weather,,,
05.29.2025,945 G St NW / MLK Library,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,Downtown,,,,
06.03.2025,Pennsylvania Ave SE/Souza Bridge (DDOT Bridge),"Full Clean-up 
Bio-hazard Removal
Enforcement that this DDOT space must remain clear at all times due to safety concerns",?,?,unclear what side of bridge,,,
06.04.2025,555 South Capitol St SW (DDOT Underpass,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this DDOT space must remain clear at all times due to safety concerns",6,Capitol,,,,
06.05.2025,2417 9th St NW (Banneker Rec Center) – Full Cleanup – 6/5/25,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",1,Howard,cancelled because resident moved according to Trina,,,
06.10.2025,Georgia Ave and Sheridan St NW,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",4,Brightwood,,,,
06.11.2025,2230 Adams Place NE ,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this public space must remain clear at all times due to safety concerns
Rescheduled from 5/28/25 due to weather",5,Ivy City,,,,
06.17.2025,3178 Mt. Pleasant St NW,Cancelled,1,Mount Plasant,,,,
06.17.2025,1000 Blk of Howard Rd SE,"Full Clean-up 
Bio-hazard Removal
Re-enforcement that this DDOT/public space must remain clear at all times due to safety concerns",8,Anacostia,,,,
06.18.20245,26th and Pennsylvania Ave NW ,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",2,West End,,,,
06.25.2025,North Capitol St and Massachusetts Ave NE,"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",6,Union Station,,,,
07.02.2025,1st and H St NE (Underpass),"Full Clean-up 
Bio-hazard Removal
Enforcement that this public space must remain clear at all times due to safety concerns",6,Union Station,,,,
